mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
94.75543296337128,0.7258518934249878,2.9368672370910645,0.0041086673736572266,0.8,5.0,1,0.0,300,3,7,0.05,0.1,1.0,"{'subsample': 0.8, 'scale_pos_weight': 5, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.7529849910157846,0.7599088676183698,0.7564469293170772,0.0034619383012925997,8,0.9244966213874752,0.925606209435235,0.9250514154113552,0.0005547940238798676
48.53929042816162,0.16913104057312012,1.8182116746902466,0.10457050800323486,1.0,13.0,2,0.0,200,7,5,0.05,0.1,0.8,"{'subsample': 1.0, 'scale_pos_weight': 13, 'reg_lambda': 2, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 7, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.7542452241125199,0.7611814632847179,0.757713343698619,0.0034681195860989944,5,0.8168032218062299,0.8108305750669104,0.8138168984365701,0.00298632336965976
125.70532834529877,0.24888980388641357,3.9447051286697388,0.02543461322784424,1.0,11.3,5,1.0,300,3,8,0.03,0.0,1.0,"{'subsample': 1.0, 'scale_pos_weight': 11.3, 'reg_lambda': 5, 'reg_alpha': 1, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 1.0}",0.7505029266275036,0.7552097908737001,0.7528563587506019,0.0023534321230982425,18,0.9204215547176807,0.9236895052783032,0.922055529997992,0.0016339752803112284
73.2126384973526,0.5395678281784058,3.0588613748550415,0.15096628665924072,0.8,10.0,1,1.0,200,5,7,0.05,0.1,0.8,"{'subsample': 0.8, 'scale_pos_weight': 10, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.7525577725472795,0.7592718791164591,0.7559148258318693,0.003357053284589795,10,0.8933123209727408,0.89326625902338,0.8932892899980605,2.303097468042692e-05
96.73309302330017,1.7113723754882812,2.929755687713623,0.0024755001068115234,0.8,13.0,5,0.1,200,7,8,0.03,0.1,1.0,"{'subsample': 0.8, 'scale_pos_weight': 13, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 200, 'min_child_weight': 7, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.7525726488660983,0.7585887315886017,0.7555806902273501,0.003008041361251712,12,0.8978410354341828,0.8968498407436345,0.8973454380889087,0.0004955973452741569
125.14861345291138,2.0788681507110596,4.066938519477844,0.01308596134185791,0.8,5.0,2,0.1,300,1,8,0.03,0.5,0.7,"{'subsample': 0.8, 'scale_pos_weight': 5, 'reg_lambda': 2, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0.5, 'colsample_bytree': 0.7}",0.7541717309027779,0.7606687439452932,0.7574202374240355,0.0032485065212576325,6,0.9303258771034291,0.9315498325019214,0.9309378548026752,0.0006119776992461468
103.74964940547943,1.2681838274002075,3.4866427183151245,0.04658472537994385,1.0,5.0,5,1.0,300,7,8,0.05,0.1,1.0,"{'subsample': 1.0, 'scale_pos_weight': 5, 'reg_lambda': 5, 'reg_alpha': 1, 'n_estimators': 300, 'min_child_weight': 7, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.7527117239891438,0.7567234067732845,0.7547175653812142,0.0020058413920703844,14,0.9408187583527055,0.9442731765583876,0.9425459674555465,0.0017272091028410763
57.200032234191895,0.4539058208465576,2.1494778394699097,0.013985753059387207,1.0,11.3,2,0.5,300,7,4,0.1,0.1,0.7,"{'subsample': 1.0, 'scale_pos_weight': 11.3, 'reg_lambda': 2, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.7542329448150247,0.7617585118932444,0.7579957283541345,0.0037627835391098596,4,0.832702421914756,0.828423495750655,0.8305629588327055,0.0021394630820504856
79.86041796207428,0.6113444566726685,1.4543797969818115,0.0006530284881591797,0.7,13.0,5,0.1,300,7,5,0.01,0.0,0.8,"{'subsample': 0.7, 'scale_pos_weight': 13, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 7, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.8}",0.7452549793119109,0.7530211458097266,0.7491380625608187,0.003883083248907848,22,0.7771872347816466,0.7711032683620229,0.7741452515718348,0.0030419832098118604
71.80121147632599,1.7759581804275513,1.6478351354599,0.04299628734588623,0.7,13.0,2,0.1,300,3,8,0.05,0.5,0.7,"{'subsample': 0.7, 'scale_pos_weight': 13, 'reg_lambda': 2, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.7}",0.7456939449379111,0.7521433851097091,0.7489186650238101,0.0032247200858990244,23,0.9530721052283115,0.9537653015187179,0.9534187033735146,0.00034659814520315857
