mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
151.6989270846049,0.24225813660467924,2.2215733528137207,0.014147830283830603,0.8,10.0,3,0.05,500,4,5,0.03,0.7,0.8,"{'subsample': 0.8, 'scale_pos_weight': 10, 'reg_lambda': 3, 'reg_alpha': 0.05, 'n_estimators': 500, 'min_child_weight': 4, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.7, 'colsample_bytree': 0.8}",0.7598572183627992,0.7643784020878998,0.7629069464201708,0.7623808556236232,0.0018828797472112743,17,0.8244361252576613,0.8218765737337765,0.8239393576861251,0.8234173522258543,0.001108209750384108
194.6085877418518,0.6386772555587902,3.2870567639668784,0.03124058103776306,0.9,13.0,5,0.0,600,2,6,0.03,0.7,0.7,"{'subsample': 0.9, 'scale_pos_weight': 13, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 600, 'min_child_weight': 2, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.7, 'colsample_bytree': 0.7}",0.75822797943056,0.7629006634117743,0.7621812739319835,0.7611033055914392,0.002054264784050666,59,0.8708632995890145,0.8690095021933958,0.8692446745167167,0.8697058254330424,0.0008240697064859221
153.62591004371643,0.35122036858147165,2.5970820585886636,0.006374191542859444,1.0,11.3,7,0.05,600,3,5,0.05,0.5,0.8,"{'subsample': 1.0, 'scale_pos_weight': 11.3, 'reg_lambda': 7, 'reg_alpha': 0.05, 'n_estimators': 600, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.7566004898730041,0.7640380946075456,0.7616615915424848,0.7607667253410115,0.003101621101480416,68,0.8541524972389052,0.8512073653471024,0.8541633774882451,0.8531744133580842,0.0013909200799200312
117.92396815617879,0.4319256485425369,1.8619498411814372,0.018395726444423624,1.0,13.0,5,0.05,400,4,5,0.03,0.7,0.8,"{'subsample': 1.0, 'scale_pos_weight': 13, 'reg_lambda': 5, 'reg_alpha': 0.05, 'n_estimators': 400, 'min_child_weight': 4, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.7, 'colsample_bytree': 0.8}",0.7571111840429134,0.7623586458164716,0.7608509510191834,0.7601069269595229,0.002205922727152812,79,0.8109617108336608,0.8078817850212657,0.810910006525388,0.8099178341267715,0.0014398588597258728
163.62428776423135,1.4409004052635384,2.762860139211019,0.013426209355397593,1.0,13.0,3,0.05,500,2,6,0.02,0.3,0.6,"{'subsample': 1.0, 'scale_pos_weight': 13, 'reg_lambda': 3, 'reg_alpha': 0.05, 'n_estimators': 500, 'min_child_weight': 2, 'max_depth': 6, 'learning_rate': 0.02, 'gamma': 0.3, 'colsample_bytree': 0.6}",0.7575955323896221,0.7626840265018441,0.7612905378374524,0.7605233655763062,0.002147030203363651,74,0.8348412547167553,0.8318451739532212,0.8342400412788302,0.8336421566496023,0.0012941469539958354
189.64654763539633,0.6727756397429501,3.225813945134481,0.03350930265693584,0.8,11.3,5,0.1,600,3,6,0.05,0.5,0.8,"{'subsample': 0.8, 'scale_pos_weight': 11.3, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 600, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.7547703553971896,0.7604500259360327,0.7599541361176642,0.7583915058169621,0.0025685306370185766,93,0.9072309356721807,0.90578060802295,0.9070702879009841,0.9066939438653715,0.0006491474908866139
149.02032478650412,0.462840575880468,2.336675484975179,0.05046582625783873,0.9,10.0,7,0.05,400,4,6,0.02,0.5,0.7,"{'subsample': 0.9, 'scale_pos_weight': 10, 'reg_lambda': 7, 'reg_alpha': 0.05, 'n_estimators': 400, 'min_child_weight': 4, 'max_depth': 6, 'learning_rate': 0.02, 'gamma': 0.5, 'colsample_bytree': 0.7}",0.758916032740439,0.7634101903299617,0.7615514155454423,0.761292546205281,0.0018438407580054041,53,0.8253610573988067,0.8226605122034722,0.8239591646453341,0.8239935780825377,0.0011027614736064926
204.04724510510763,1.4085884685575345,2.9728333950042725,0.021005169945310802,0.8,13.0,5,0.05,700,2,5,0.03,0.7,0.8,"{'subsample': 0.8, 'scale_pos_weight': 13, 'reg_lambda': 5, 'reg_alpha': 0.05, 'n_estimators': 700, 'min_child_weight': 2, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.7, 'colsample_bytree': 0.8}",0.7592340281790797,0.7651388841185754,0.7631175404611886,0.7624968175862813,0.00245027938299894,15,0.8415538189773945,0.8392746083594013,0.8408382329684548,0.8405555534350836,0.0009517111078590647
227.12823112805685,1.6106436001177418,3.6901440620422363,0.06734560740767606,0.8,12.0,5,0.1,700,2,6,0.03,0.7,0.7,"{'subsample': 0.8, 'scale_pos_weight': 12, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 700, 'min_child_weight': 2, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.7, 'colsample_bytree': 0.7}",0.7575165359992653,0.7630739537026087,0.762289302758534,0.7609599308201359,0.0024558291465149795,65,0.8818010375183243,0.8797029369751027,0.8814789489107648,0.8809943078013974,0.0009225559517028137
167.43350672721863,3.501710124198234,2.847206433614095,0.10683958283493478,0.8,12.0,3,0.0,500,2,6,0.04,0.5,0.8,"{'subsample': 0.8, 'scale_pos_weight': 12, 'reg_lambda': 3, 'reg_alpha': 0, 'n_estimators': 500, 'min_child_weight': 2, 'max_depth': 6, 'learning_rate': 0.04, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.7567884163983056,0.7616195941266378,0.761682094365528,0.7600300349634906,0.0022923124803828866,80,0.880213117281121,0.8784169176274514,0.8799341561319111,0.8795213970134945,0.0007892447302485395
125.34529153505962,0.474370538300161,2.069773038228353,0.23075556229087774,0.9,12.0,3,0.05,400,2,5,0.03,0.5,0.7,"{'subsample': 0.9, 'scale_pos_weight': 12, 'reg_lambda': 3, 'reg_alpha': 0.05, 'n_estimators': 400, 'min_child_weight': 2, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.5, 'colsample_bytree': 0.7}",0.7588195195587905,0.7637704753485854,0.7619739913228261,0.7615213287434006,0.0020464063405940297,45,0.8141495124612712,0.8111502723321533,0.8128076221777908,0.8127024689904051,0.0012266901898036608
174.20025078455606,1.1855672078913126,2.6300764083862305,0.03556576798330584,0.8,12.0,3,0.1,600,4,5,0.04,0.3,0.7,"{'subsample': 0.8, 'scale_pos_weight': 12, 'reg_lambda': 3, 'reg_alpha': 0.1, 'n_estimators': 600, 'min_child_weight': 4, 'max_depth': 5, 'learning_rate': 0.04, 'gamma': 0.3, 'colsample_bytree': 0.7}",0.7590316818367978,0.7641085875941562,0.7639010683230251,0.7623471125846598,0.002345893837449278,20,0.848565708391734,0.8468874137167315,0.8480943177865556,0.8478491466316737,0.0007067531041908107
147.4565591017405,0.8831021430667987,2.3041107654571533,0.0555717396146523,1.0,13.0,5,0.05,600,3,4,0.03,0.5,0.7,"{'subsample': 1.0, 'scale_pos_weight': 13, 'reg_lambda': 5, 'reg_alpha': 0.05, 'n_estimators': 600, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.03, 'gamma': 0.5, 'colsample_bytree': 0.7}",0.7584496801089045,0.7641018556076156,0.7618202196490288,0.7614572517885163,0.0023217208011704483,48,0.7994485595767726,0.7964039503767442,0.7985392328132355,0.7981305809222508,0.0012761030708707234
121.49674185117085,0.6312119612238295,1.6136244138081868,0.017064127373597315,0.8,11.3,5,0.0,400,3,4,0.02,0.7,0.6,"{'subsample': 0.8, 'scale_pos_weight': 11.3, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.02, 'gamma': 0.7, 'colsample_bytree': 0.6}",0.7546715628184016,0.7587880017584321,0.757909439662846,0.7571230014132265,0.0017701471176332694,99,0.7786001147421062,0.7758670906774243,0.777210726919085,0.7772259774462053,0.0011158045134836345
130.69881828625998,1.5086255515292095,2.306845506032308,0.016918567798959804,1.0,12.0,3,0.0,400,4,6,0.03,0.5,0.8,"{'subsample': 1.0, 'scale_pos_weight': 12, 'reg_lambda': 3, 'reg_alpha': 0, 'n_estimators': 400, 'min_child_weight': 4, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.7571294041910368,0.7626135946331348,0.760336944654341,0.7600266478261709,0.0022496369029214704,81,0.8429305216106818,0.8389597564004645,0.8423649526328248,0.841418410214657,0.0017537960734192689
163.69588375091553,0.9929655745706136,2.763252099355062,0.0358625867465567,0.8,12.0,5,0.05,500,4,6,0.04,0.3,0.6,"{'subsample': 0.8, 'scale_pos_weight': 12, 'reg_lambda': 5, 'reg_alpha': 0.05, 'n_estimators': 500, 'min_child_weight': 4, 'max_depth': 6, 'learning_rate': 0.04, 'gamma': 0.3, 'colsample_bytree': 0.6}",0.758429681530046,0.7630435510534661,0.7622927664862014,0.7612553330232378,0.002021410256453596,54,0.8746495954719551,0.8737076779522122,0.8753936661635227,0.8745836465292299,0.0006898797042259917
203.79040304819742,1.9398264349601515,3.810150941212972,0.06653370292543953,1.0,12.0,3,0.1,700,2,6,0.03,0.5,0.7,"{'subsample': 1.0, 'scale_pos_weight': 12, 'reg_lambda': 3, 'reg_alpha': 0.1, 'n_estimators': 700, 'min_child_weight': 2, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.5, 'colsample_bytree': 0.7}",0.7560804496738569,0.7622329543475728,0.7614963095118912,0.7599365711777736,0.002743223917608715,84,0.8740155749484277,0.8702115522516937,0.8734843248914615,0.8725704840305277,0.00168205747199698
107.15497024854024,0.7752286774153536,1.6334490776062012,0.01145888011494019,1.0,10.0,3,0.0,400,2,4,0.03,0.3,0.6,"{'subsample': 1.0, 'scale_pos_weight': 10, 'reg_lambda': 3, 'reg_alpha': 0, 'n_estimators': 400, 'min_child_weight': 2, 'max_depth': 4, 'learning_rate': 0.03, 'gamma': 0.3, 'colsample_bytree': 0.6}",0.7573924977195007,0.7620234271528521,0.76015462653421,0.7598568504688542,0.0019022582707568327,85,0.7883983551961532,0.785306143351686,0.7874625958443914,0.7870556981307435,0.0012947632562994292
147.46659302711487,0.7251055199406023,2.783517519632975,0.03211565543825114,1.0,10.0,7,0.0,500,2,6,0.04,0.7,0.6,"{'subsample': 1.0, 'scale_pos_weight': 10, 'reg_lambda': 7, 'reg_alpha': 0, 'n_estimators': 500, 'min_child_weight': 2, 'max_depth': 6, 'learning_rate': 0.04, 'gamma': 0.7, 'colsample_bytree': 0.6}",0.7582478507639518,0.7639827538507986,0.7630327327374506,0.7617544457840669,0.0025096867673442443,37,0.8675827238786118,0.8660282233319035,0.8688878932571245,0.8674996134892133,0.001168933566097099
121.59027806917827,0.4144715622351962,1.8467122713724773,0.007322035094787213,0.9,10.0,5,0.05,400,3,5,0.04,0.7,0.7,"{'subsample': 0.9, 'scale_pos_weight': 10, 'reg_lambda': 5, 'reg_alpha': 0.05, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.04, 'gamma': 0.7, 'colsample_bytree': 0.7}",0.7592011277114457,0.765007701055953,0.7633138497566594,0.7625075595080193,0.0024381210627687174,14,0.8258252374120586,0.8231109045278947,0.8242876428059841,0.8244079282486458,0.0011113811804238942
120.46507334709167,0.3774033504804601,1.9461771647135417,0.01419129404247056,1.0,12.0,3,0.05,500,4,4,0.04,0.3,0.6,"{'subsample': 1.0, 'scale_pos_weight': 12, 'reg_lambda': 3, 'reg_alpha': 0.05, 'n_estimators': 500, 'min_child_weight': 4, 'max_depth': 4, 'learning_rate': 0.04, 'gamma': 0.3, 'colsample_bytree': 0.6}",0.7591142641446762,0.7640556715148058,0.7627230422193636,0.7619643259596153,0.002087440932736819,29,0.8031344197963998,0.7991088730455542,0.8025690376291096,0.8016041101570212,0.0017794325744656069
200.6416928768158,0.567628351954395,3.0660712718963623,0.06428258559290534,0.8,10.0,3,0.0,700,3,5,0.03,0.5,0.7,"{'subsample': 0.8, 'scale_pos_weight': 10, 'reg_lambda': 3, 'reg_alpha': 0, 'n_estimators': 700, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.5, 'colsample_bytree': 0.7}",0.7601374409345582,0.7656629300450914,0.7641221727786314,0.7633075145860936,0.0023281621443615318,1,0.8415153913430228,0.8392817566964373,0.8404984840656413,0.8404318773683671,0.0009130930119464068
186.85712909698486,2.5163953537089103,3.2256076335906982,0.01044466870052973,0.9,12.0,3,0.05,600,4,6,0.05,0.5,0.8,"{'subsample': 0.9, 'scale_pos_weight': 12, 'reg_lambda': 3, 'reg_alpha': 0.05, 'n_estimators': 600, 'min_child_weight': 4, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.7547355562668834,0.759853650480068,0.7601214771474931,0.7582368946314816,0.0024782333140769244,96,0.9076211299712855,0.9057205364924885,0.9066970989897191,0.9066795884844977,0.0007760128247463693
