XGB,LGBM,Threshold,Accuracy,Precision,Recall,F1,ROC_AUC
0.79,0.21,0.6,0.8429182316309773,0.25868448098663926,0.5069486404833837,0.34256549846886697,0.7906339672910059
0.59,0.41,0.6,0.84373120010406,0.25927461139896374,0.5039274924471299,0.34238795757783097,0.7906282532326734
0.8,0.2,0.6,0.8428369347836691,0.2586012118722399,0.5071500503524673,0.3425384301455584,0.7906192190357085
0.58,0.42,0.6,0.8437637188429833,0.25937823834196894,0.5041289023162135,0.34252480328429696,0.7906118769694843
0.81,0.19,0.6,0.8427881566752842,0.2585215605749487,0.5071500503524673,0.3424685481128868,0.7906032845077023
0.57,0.43,0.6,0.8437799782124449,0.2593552399709754,0.5039274924471299,0.34245825349028197,0.7905939688826775
0.82,0.18,0.6,0.8427068598279759,0.2585375858886268,0.507754279959718,0.34262027724925254,0.7905882120757789
0.56,0.44,0.6,0.8437149407345983,0.25909797822706065,0.5033232628398792,0.34209445585215603,0.7905756190606879
0.83,0.17,0.6,0.8427718973058225,0.25874269305712233,0.5081570996978853,0.3428920902419136,0.7905701579313713
0.55,0.45,0.6,0.8437474594735216,0.25910175293019394,0.5031218529707956,0.3420512118307545,0.7905553989889322
0.84,0.16,0.6,0.8428531941531308,0.2590732007381587,0.5089627391742195,0.34336571777974045,0.7905485734678815
0.54,0.46,0.6,0.8437799782124449,0.25905552672548005,0.5027190332326285,0.3419178082191781,0.7905335117230995
0.85,0.15,0.6,0.8426418223501293,0.258678955453149,0.508761329305136,0.3429735234215886,0.7905267752615616
0.53,0.47,0.6,0.843682421995675,0.2587942305696794,0.5023162134944612,0.3415970415011642,0.7905118097010533
0.86,0.14,0.6,0.8425767848722826,0.25862245420120766,0.5089627391742195,0.34296959826275786,0.7905038798420454
0.52,0.48,0.6,0.84373120010406,0.2587245533859576,0.5017119838872105,0.3413965599945179,0.7904865061123146
0.87,0.13,0.6,0.8426255629806676,0.2588006549324601,0.5093655589123867,0.3432177512383796,0.7904785976275899
0.51,0.49,0.6,0.8438287563208299,0.2588357588357588,0.5015105740181269,0.34144669180665066,0.7904599200665938
0.88,0.12,0.6,0.8425280067638977,0.25874054385606216,0.5097683786505539,0.34325625550959515,0.7904508217467797
0.5,0.5,0.6,0.8437474594735216,0.25875142827464426,0.5017119838872105,0.34141995614035087,0.7904346236026162
0.89,0.11,0.6,0.8424792286555127,0.2587598324650118,0.510171198388721,0.34336451131896434,0.7904247664957544
0.9,0.1,0.6,0.8422515974830496,0.2583902886871366,0.510171198388721,0.34303900325027087,0.7903992206651413
0.91,0.09,0.65,0.8659577581581386,0.28379269418435976,0.43343403826787513,0.3430028689831049,0.7903685699432623
0.92,0.08,0.65,0.8659252394192153,0.2837178642056691,0.43343403826787513,0.34294820717131475,0.7903379334709052
0.93,0.07,0.65,0.8658764613108304,0.2836627140974967,0.4336354481369587,0.3429709279171645,0.7903053234397477
0.94,0.06,0.6,0.8419751882022015,0.25818921668362155,0.511178247734139,0.3430888813788442,0.7902707042259844
0.95,0.05,0.6,0.8418125945075849,0.25802519301097115,0.5115810674723061,0.34303464109663045,0.790235629027516
0.96,0.04,0.6,0.8417312976602768,0.25794335600446655,0.5117824773413897,0.3430075593952484,0.7901978571070045
0.97,0.03,0.6,0.8416662601824301,0.25798600547611805,0.5123867069486405,0.34318089842169164,0.790158963036633
0.98,0.02,0.6,0.8416500008129685,0.2581070125658695,0.5129909365558912,0.34342344771792627,0.7901181203441245
0.99,0.01,0.6,0.8416012227045835,0.25797953186746375,0.5127895266868077,0.34326547121477685,0.7900773453368459
1.0,-0.0,0.6,0.841438629009967,0.2576693327933583,0.5125881168177241,0.34294569465031666,0.7900352611547307
